combo,n_features,mean_cindex,std_cindex,ci95_lo,ci95_hi,per_fold
METH+MIRNA+MUT,600,0.7912187967556501,0.03067662808095123,0.7487031593452926,0.8337344341660076,"[np.float64(0.8218954248366013), np.float64(0.7605421686746988), nan, nan, nan]"
METH+MUT,400,0.7829356642255296,0.0389597606110717,0.7289401908194026,0.8369311376316566,"[np.float64(0.8218954248366013), np.float64(0.7439759036144579), nan, nan, nan]"
RNA+MIRNA+MUT,600,0.7682297818725884,0.024253878258130523,0.7346156215712502,0.8018439421739266,"[np.float64(0.7924836601307189), np.float64(0.7439759036144579), nan, nan, nan]"
SCNV+MUT,400,0.7656016221749744,0.036685959524372036,0.7147574762970978,0.816445768052851,"[np.float64(0.8022875816993464), np.float64(0.7289156626506024), nan, nan, nan]"
RNA+MUT,400,0.7632786046145366,0.03737499015670526,0.7114795110008265,0.8150776982282466,"[np.float64(0.8006535947712419), np.float64(0.7259036144578314), nan, nan, nan]"
RNA+METH+MIRNA,600,0.76272684860678,0.037512452732779665,0.7298457340359887,0.7956079631775712,"[np.float64(0.7745098039215687), np.float64(0.7274096385542169), np.float64(0.8285024154589372), np.float64(0.7269230769230769), np.float64(0.7562893081761006)]"
RNA+METH+MUT,600,0.7576383967241516,0.05281911961571778,0.6844348317172598,0.8308419617310433,"[np.float64(0.8104575163398693), np.float64(0.7048192771084337), nan, nan, nan]"
METH+SCNV+MUT,600,0.756388298291204,0.060605165761083546,0.6723938238693941,0.840382772713014,"[np.float64(0.8169934640522876), np.float64(0.6957831325301205), nan, nan, nan]"
METH+SCNV+MIRNA,600,0.7523058318026192,0.025458697722036232,0.7299902993423831,0.7746213642628553,"[np.float64(0.7401960784313726), np.float64(0.7409638554216867), np.float64(0.7922705314009661), np.float64(0.7192307692307692), np.float64(0.7688679245283019)]"
MIRNA+MUT,400,0.7513436097330499,0.0329701157571462,0.7056493605734182,0.7970378588926816,"[np.float64(0.7843137254901961), np.float64(0.7183734939759037), nan, nan, nan]"
RNA+MIRNA,400,0.748574012132604,0.049942800443727974,0.7047972173952821,0.7923508068699259,"[np.float64(0.7434640522875817), np.float64(0.7123493975903614), np.float64(0.8429951690821256), np.float64(0.7019230769230769), np.float64(0.7421383647798742)]"
METH+MIRNA,400,0.7484796314895052,0.03315329051355653,0.7194194910731896,0.7775397719058209,"[np.float64(0.75), np.float64(0.7018072289156626), np.float64(0.7995169082125604), np.float64(0.7269230769230769), np.float64(0.7641509433962265)]"
RNA+METH,400,0.7365231303972555,0.0498046854433201,0.6928673987955464,0.7801788619989646,"[np.float64(0.7565359477124183), np.float64(0.6867469879518072), np.float64(0.8164251207729468), np.float64(0.6807692307692308), np.float64(0.7421383647798742)]"
METH+MIRNA+RPPA,574,0.7336439982005063,0.037765418450619384,0.7005411494016169,0.7667468469993957,"[np.float64(0.7467320261437909), np.float64(0.6897590361445783), np.float64(0.7971014492753623), np.float64(0.7019230769230769), np.float64(0.7327044025157232)]"
SCNV+MUT+RPPA,574,0.7329218836128829,0.004006220962280538,0.7273695446345367,0.7384742225912291,"[np.float64(0.7369281045751634), np.float64(0.7289156626506024), nan, nan, nan]"
RNA+METH+SCNV,600,0.7316716585159192,0.04778300394256838,0.6897880088819076,0.7735553081499308,"[np.float64(0.7549019607843137), np.float64(0.7018072289156626), np.float64(0.7971014492753623), np.float64(0.6576923076923077), np.float64(0.7468553459119497)]"
METH+SCNV,400,0.7300746716923608,0.03710552039475061,0.6975502490426393,0.7625990943420824,"[np.float64(0.7303921568627451), np.float64(0.6716867469879518), np.float64(0.7584541062801933), np.float64(0.7115384615384616), np.float64(0.7783018867924528)]"
MUT,200,0.7278489114996747,0.03543618000366976,0.6877490988939,0.7679487241054493,"[np.float64(0.6849557522123894), np.float64(0.7717391304347826), nan, nan, np.float64(0.7268518518518519)]"
MUT+RPPA,374,0.7274555130076484,0.02039662855340668,0.704374554995343,0.7505364710199539,"[np.float64(0.7150442477876107), np.float64(0.7562111801242236), nan, nan, np.float64(0.7111111111111111)]"
RNA+SCNV+MIRNA,600,0.7243306960583237,0.06562590099659828,0.6668070575788022,0.7818543345378451,"[np.float64(0.7254901960784313), np.float64(0.7033132530120482), np.float64(0.8429951690821256), np.float64(0.6423076923076924), np.float64(0.7075471698113207)]"
RNA+MIRNA+RPPA,574,0.7240717744604527,0.054674828827243886,0.6761471739654268,0.7719963749554786,"[np.float64(0.7369281045751634), np.float64(0.697289156626506), np.float64(0.8067632850241546), np.float64(0.6403846153846153), np.float64(0.7389937106918238)]"
METH+MUT+RPPA,574,0.7230490589810221,0.0694346011496968,0.6268176114300318,0.8192805065320125,"[np.float64(0.7924836601307189), np.float64(0.6536144578313253), nan, nan, nan]"
RNA+METH+RPPA,574,0.7223748544736546,0.05368837217382292,0.6753149213591199,0.7694347875881893,"[np.float64(0.7369281045751634), np.float64(0.6792168674698795), np.float64(0.8091787439613527), np.float64(0.6538461538461539), np.float64(0.7327044025157232)]"
RNA,200,0.7211927398829502,0.0677537454636783,0.6618039634928451,0.7805815162730553,"[np.float64(0.7205882352941176), np.float64(0.6536144578313253), np.float64(0.8333333333333334), np.float64(0.65), np.float64(0.7484276729559748)]"
METH+SCNV+RPPA,574,0.7175092536412041,0.03398615216282703,0.6877190778015488,0.7472994294808594,"[np.float64(0.7287581699346405), np.float64(0.6762048192771084), np.float64(0.7584541062801933), np.float64(0.6788461538461539), np.float64(0.7452830188679245)]"
METH,200,0.7126972087300696,0.049591230093650324,0.6692285789917933,0.7561658384683458,"[np.float64(0.7271241830065359), np.float64(0.6219879518072289), np.float64(0.7463768115942029), np.float64(0.7038461538461539), np.float64(0.7641509433962265)]"
MIRNA,200,0.7070598095359798,0.05380004923771842,0.6599019871589371,0.7542176319130225,"[np.float64(0.7124183006535948), np.float64(0.7093373493975904), np.float64(0.8019323671497585), np.float64(0.6653846153846154), np.float64(0.6462264150943396)]"
RNA+SCNV+MUT,600,0.7054246397354123,0.09849692889203876,0.5689148608980171,0.8419344185728074,"[np.float64(0.803921568627451), np.float64(0.6069277108433735), nan, nan, nan]"
MIRNA+MUT+RPPA,574,0.7010689818095913,0.06853886132766362,0.6060789663151844,0.7960589973039982,"[np.float64(0.7696078431372549), np.float64(0.6325301204819277), nan, nan, nan]"
SCNV+MIRNA,400,0.6963439931662453,0.0647743804615912,0.6395667453445248,0.7531212409879657,"[np.float64(0.7222222222222222), np.float64(0.6912650602409639), np.float64(0.8043478260869565), np.float64(0.6192307692307693), np.float64(0.6446540880503144)]"
METH+RPPA,374,0.6957656530698038,0.05147250516731878,0.6506480130234809,0.7408832931161267,"[np.float64(0.7140522875816994), np.float64(0.6144578313253012), np.float64(0.7391304347826086), np.float64(0.6596153846153846), np.float64(0.7515723270440252)]"
RNA+SCNV,400,0.6945356059630636,0.07976077560826797,0.6246222036133715,0.7644490083127558,"[np.float64(0.738562091503268), np.float64(0.6506024096385542), np.float64(0.8091787439613527), np.float64(0.573076923076923), np.float64(0.7012578616352201)]"
RNA+RPPA,374,0.6912869444436867,0.08579358456605622,0.6160855518914399,0.7664883369959334,"[np.float64(0.7075163398692811), np.float64(0.6460843373493976), np.float64(0.8140096618357487), np.float64(0.5576923076923077), np.float64(0.7311320754716981)]"
SCNV+MIRNA+RPPA,574,0.6830927701913784,0.06642711095175702,0.624866840221655,0.7413187001611018,"[np.float64(0.7107843137254902), np.float64(0.6822289156626506), np.float64(0.7898550724637681), np.float64(0.5942307692307692), np.float64(0.6383647798742138)]"
RNA+SCNV+RPPA,574,0.6828874869532708,0.09050381915830509,0.6035573917436342,0.7622175821629075,"[np.float64(0.7189542483660131), np.float64(0.6551204819277109), np.float64(0.8067632850241546), np.float64(0.5307692307692308), np.float64(0.7028301886792453)]"
SCNV+MIRNA+MUT,600,0.6792463973541223,0.10996928892038743,0.5268367387150998,0.8316560559931447,"[np.float64(0.7892156862745098), np.float64(0.5692771084337349), nan, nan, nan]"
MIRNA+RPPA,374,0.6789195020262591,0.04794539657053406,0.6368935089778185,0.7209454950746996,"[np.float64(0.7009803921568627), np.float64(0.6656626506024096), np.float64(0.7560386473429952), np.float64(0.6115384615384616), np.float64(0.660377358490566)]"
RNA+MUT+RPPA,574,0.6779815339790535,0.09816225687061975,0.5419355868990632,0.8140274810590438,"[np.float64(0.7761437908496732), np.float64(0.5798192771084337), nan, nan, nan]"
SCNV,200,0.5969526128448552,0.05985896603299501,0.5444839157367052,0.6494213099530053,"[np.float64(0.6650326797385621), np.float64(0.6174698795180723), np.float64(0.642512077294686), np.float64(0.5), np.float64(0.559748427672956)]"
SCNV+RPPA,374,0.5943608924815157,0.06895012140856846,0.533923446339158,0.6547983386238734,"[np.float64(0.6258169934640523), np.float64(0.5843373493975904), np.float64(0.6980676328502415), np.float64(0.48653846153846153), np.float64(0.5770440251572327)]"
RPPA,174,0.517239390761884,0.06869221764860689,0.4570280072323856,0.5774507742913824,"[np.float64(0.4869281045751634), np.float64(0.45331325301204817), np.float64(0.644927536231884), np.float64(0.47115384615384615), np.float64(0.529874213836478)]"
